County,DistrictName,TotalTeacherCount,TotalStudentCount,TeacherToStudentRatio,StudentToTeacherRatio
Grays Harbor,Aberdeen School District,226,3233,0.0699,14.30531
Lewis,Adna School District,62,588,0.10544,9.48387
Lincoln,Almira School District,11,119,0.09244,10.81818
Skagit,Anacortes School District,157,2582,0.06081,16.44586
Snohomish,Arlington School District,330,5377,0.06137,16.29394
Asotin,Asotin-Anatone School District,43,580,0.07414,13.48837
King,Auburn School District,1120,16850,0.06647,15.04464
Kitsap,Bainbridge Island School District,236,3595,0.06565,15.23305
Clark,Battle Ground School District,794,11721,0.06774,14.76196
King,Bellevue School District,1280,20135,0.06357,15.73047
Whatcom,Bellingham School District,848,11375,0.07455,13.41392
Adams,Benge School District,2,18,0.11111,9
Pierce,Bethel School District,1189,19703,0.06035,16.57107
Klickitat,Bickleton School District,13,40,0.325,3.07692
Whatcom,Blaine School District,146,2177,0.06706,14.91096
Lewis,Boistfort School District,8,90,0.08889,11.25
Kitsap,Bremerton School District,351,4474,0.07845,12.74644
Okanogan,Brewster School District,55,948,0.05802,17.23636
Douglas,Bridgeport School District,48,772,0.06218,16.08333
Jefferson,Brinnon School District,6,75,0.08,12.5
Skagit,Burlington-Edison School District,233,3301,0.07058,14.16738
Clark,Camas School District,458,7058,0.06489,15.41048
Clallam,Cape Flattery School District,57,513,0.11111,9
Pierce,Carbonado School District,12,189,0.06349,15.75
Chelan,Cascade School District,84,1143,0.07349,13.60714
Chelan,CASHMERE SCHOOL DISTRICT,103,1565,0.06581,15.19417
Cowlitz,Castle Rock School District,84,1333,0.06302,15.86905
Klickitat,Centerville School District,6,85,0.07059,14.16667
Kitsap,Central Kitsap School District,622,11034,0.05637,17.73955
Spokane,Central Valley School District,884,13973,0.06326,15.80656
Lewis,Centralia School District,190,3339,0.0569,17.57368
Lewis,Chehalis School District,188,3062,0.0614,16.28723
Spokane,Cheney School District,336,4966,0.06766,14.77976
Stevens,Chewelah School District,47,690,0.06812,14.68085
Jefferson,Chimacum School District,59,717,0.08229,12.15254
Asotin,Clarkston School District,142,2505,0.05669,17.64085
Kittitas,Cle Elum-Roslyn School District,84,816,0.10294,9.71429
Pierce,Clover Park School District,785,12108,0.06483,15.4242
Whitman,Colfax School District,38,482,0.07884,12.68421
Walla Walla,College Place School District,99,1596,0.06203,16.12121
Whitman,Colton School District,25,156,0.16026,6.24
Stevens,Columbia (Stevens) School District,15,106,0.14151,7.06667
Walla Walla,Columbia (Walla Walla) School District,49,716,0.06844,14.61224
Stevens,Colville School District,107,1562,0.0685,14.59813
Skagit,Concrete School District,36,491,0.07332,13.63889
Skagit,Conway School District,25,446,0.05605,17.84
Grays Harbor,Cosmopolis School District,14,168,0.08333,12
Grant,Coulee-Hartline School District,19,168,0.1131,8.84211
Island,Coupeville School District,56,963,0.05815,17.19643
Clallam,Crescent School District,37,332,0.11145,8.97297
Lincoln,Creston School District,22,79,0.27848,3.59091
Ferry,Curlew School District,20,267,0.07491,13.35
Pend Oreille,Cusick School District,23,282,0.08156,12.26087
Kittitas,Damman School District,3,38,0.07895,12.66667
Snohomish,Darrington School District,25,400,0.0625,16
Lincoln,Davenport School District,36,529,0.06805,14.69444
