SchoolYear,Race,Total
2021-22,American.Indian..Alaskan.Native,"13,694"
2021-22,Asian,"92,566"
2021-22,Black..African.American,"50,718"
2021-22,Hispanic..Latino.of.any.race.s.,"274,965"
2021-22,Native.Hawaiian..Other.Pacific.Islander,"14,307"
2021-22,Two.or.More.Races,"100,480"
2021-22,White,"544,625"
2020-21,American.Indian..Alaskan.Native,"14,213"
2020-21,Asian,"91,357"
2020-21,Black..African.American,"49,898"
2020-21,Hispanic..Latino.of.any.race.s.,"268,486"
2020-21,Native.Hawaiian..Other.Pacific.Islander,"13,427"
2020-21,Two.or.More.Races,"99,041"
2020-21,White,"552,336"
2019-20,American.Indian..Alaskan.Native,"14,364"
2019-20,Asian,"91,180"
2019-20,Black..African.American,"50,129"
2019-20,Hispanic..Latino.of.any.race.s.,"272,755"
2019-20,Native.Hawaiian..Other.Pacific.Islander,"13,148"
2019-20,Two.or.More.Races,"102,526"
2019-20,White,"596,895"
2018-19,American.Indian..Alaskan.Native,"14,566"
2018-19,Asian,"88,747"
2018-19,Black..African.American,"49,809"
2018-19,Hispanic..Latino.of.any.race.s.,"265,738"
2018-19,Native.Hawaiian..Other.Pacific.Islander,"12,544"
2018-19,Two.or.More.Races,"100,058"
2018-19,White,"602,045"
2017-18,American.Indian..Alaskan.Native,"14,803"
2017-18,Asian,"86,353"
2017-18,Black..African.American,"48,880"
2017-18,Hispanic..Latino.of.any.race.s.,"260,706"
2017-18,Native.Hawaiian..Other.Pacific.Islander,"12,099"
2017-18,Two.or.More.Races,"95,768"
2017-18,White,"607,582"
2016-17,American.Indian..Alaskan.Native,"15,075"
2016-17,Asian,"83,245"
2016-17,Black..African.American,"48,316"
2016-17,Hispanic..Latino.of.any.race.s.,"254,027"
2016-17,Native.Hawaiian..Other.Pacific.Islander,"11,698"
2016-17,Two.or.More.Races,"91,354"
2016-17,White,"609,354"
2015-16,American.Indian..Alaskan.Native,"15,300"
2015-16,Asian,"79,946"
2015-16,Black..African.American,"48,068"
2015-16,Hispanic..Latino.of.any.race.s.,"245,864"
2015-16,Native.Hawaiian..Other.Pacific.Islander,"11,108"
2015-16,Two.or.More.Races,"86,384"
2015-16,White,"610,251"
2014-15,American.Indian..Alaskan.Native,"15,804"
2014-15,Asian,"77,671"
2014-15,Black..African.American,"48,357"
2014-15,Hispanic..Latino.of.any.race.s.,"235,148"
2014-15,Native.Hawaiian..Other.Pacific.Islander,"10,622"
2014-15,Two.or.More.Races,"81,873"
2014-15,White,"612,804"
